1778229190.1831784,352.2,-12.0,2341.3,134110,-12.0
1778229190.1831834,358.6,-12.0,2091.5,134111,-12.0
1778229190.1831884,3.4,-6.0,3967.7,134112,-6.0
1778229190.183194,4.4,-11.0,3348.2,134113,-11.0
1778229190.183199,12.3,-12.0,3218.3,134114,-12.0
1778229190.1832042,52.8,-11.0,2683.6,134115,-11.0
1778229190.1832092,72.0,-12.0,1849.2,134116,-12.0
1778229190.1832137,92.7,-6.0,3205.8,134117,-6.0
1778229190.1832192,106.9,-12.0,130.4,134118,-12.0
1778229190.1832247,106.9,-12.0,155.3,134119,-12.0
1778229190.1832294,109.1,-11.0,130.4,134120,-11.0
1778229190.1832342,109.1,-11.0,152.8,134121,-11.0
1778229190.1832392,113.9,-11.0,3050.9,134122,-11.0
1778229190.1832442,119.7,-12.0,177.8,134123,-12.0
1778229190.1832492,121.5,-12.0,175.3,134124,-12.0
1778229190.183254,124.8,-12.0,130.4,134125,-12.0
1778229190.1832588,124.8,-12.0,152.8,134126,-12.0
1778229190.183264,132.7,-6.0,2613.7,134127,-6.0
1778229190.1832685,161.8,-12.0,1954.1,134128,-12.0
1778229190.1832736,168.2,-12.0,2036.6,134129,-12.0
1778229190.1832788,171.2,-12.0,132.8,134130,-12.0
1778229190.1832838,177.0,-11.0,145.3,134131,-11.0
1778229190.1832886,177.9,-12.0,145.3,134132,-12.0
1778229194.1364307,182.4,-6.0,1624.3,134133,-6.0
1778229194.1364534,216.0,-12.0,3530.5,134134,-12.0
1778229194.1364608,224.5,-12.0,1107.2,134135,-12.0
1778229194.1364667,224.5,-12.0,3807.9,134136,-12.0
1778229194.136472,243.2,-12.0,2161.5,134137,-12.0
1778229194.136477,245.0,-11.0,2706.1,134138,-11.0
1778229194.1364815,266.8,-11.0,1929.1,134139,-11.0
1778229194.136486,287.5,-12.0,2618.7,134140,-12.0
1778229194.136491,322.5,-12.0,717.5,134141,-12.0
1778229194.1364956,329.0,-12.0,3048.4,134142,-12.0
1778229194.1365001,347.2,-12.0,1814.2,134143,-12.0
1778229194.136505,354.0,-12.0,4012.7,134144,-12.0
1778229194.1365094,7.5,-12.0,3880.3,134145,-12.0
1778229194.1365147,8.1,-11.0,2798.5,134146,-11.0
1778229194.1365194,62.0,-12.0,2448.8,134147,-12.0
1778229194.136524,72.6,-12.0,2433.8,134148,-12.0
1778229194.1365287,96.7,-12.0,145.3,134149,-12.0
1778229194.1365333,97.3,-12.0,145.3,134150,-12.0
1778229194.1365378,100.6,-12.0,140.3,134151,-12.0
1778229194.1365426,111.6,-6.0,135.3,134152,-6.0
1778229194.1365473,161.9,-12.0,152.8,134153,-12.0
1778229194.136552,177.2,-12.0,150.3,134154,-12.0
1778229194.1365569,179.2,-11.0,132.8,134155,-11.0
1778229194.1365614,179.8,-12.0,132.8,134156,-12.0
1778229198.0968537,194.9,-12.0,2398.8,134157,-12.0
1778229198.0968747,202.9,-6.0,160.3,134158,-6.0
1778229198.0968819,217.5,-6.0,1919.1,134159,-6.0
1778229198.0968883,234.8,-12.0,4180.1,134160,-12.0
1778229198.096894,239.0,-11.0,2728.6,134161,-11.0
1778229198.0968988,250.5,-11.0,4040.2,134162,-11.0
1778229198.0969043,257.8,-12.0,2271.4,134163,-12.0
1778229198.0969088,270.0,-12.0,979.8,134164,-12.0
